episode_id,created_at,updated_at,tv_show_name,user_id,tv_show_id
5994934,2018-03-25 16:47:03,2018-03-25 16:47:03,Feud,5449324,322466
5934057,2017-03-06 22:01:20,2017-03-06 22:01:20,Louis(e),5449324,322884
7739416,2022-06-14 20:39:07,2022-06-14 20:39:07,13 Reasons Why,5449324,323168
6818477,2018-11-14 14:37:45,2018-11-14 14:37:45,Cable Girls,5449324,323225
6668593,2018-05-15 16:36:24,2018-05-15 16:36:24,Dear White People,5449324,323855
6675816,2018-07-23 02:37:49,2018-07-23 02:37:49,GLOW,5449324,324835
6639129,2018-08-09 14:38:11,2018-08-09 14:38:11,Kiss Me First,5449324,324916
6398349,2018-04-08 21:11:04,2018-04-08 21:11:04,,5449324,326815
6757799,2018-10-20 18:18:35,2018-10-20 18:18:35,The Sinner,5449324,326866
6150766,2017-08-26 04:54:37,2017-08-26 04:54:37,The Mist,5449324,326887
6055049,2018-02-14 17:52:20,2018-02-14 17:52:20,Disjointed,5449324,327359
8447804,2022-07-04 10:48:52,2022-07-04 10:48:52,Money Heist,5449324,327417
6062058,2017-09-14 10:53:02,2017-09-14 10:53:02,White Gold,5449324,327600
6879480,2018-11-15 22:29:05,2018-11-15 22:29:05,En fait,5449324,328068
6845753,2018-11-25 20:47:25,2018-11-25 20:47:25,,5449324,328213
6084435,2017-06-29 21:04:22,2017-06-29 21:04:22,Seb,5449324,328224
6157888,2017-07-04 03:48:14,2017-07-04 03:48:14,Gypsy,5449324,328292
7324045,2020-11-24 22:13:07,2020-11-24 22:13:07,Room 104,5449324,328308
6712758,2018-06-28 21:10:39,2018-06-28 21:10:39,,5449324,328346
6085886,2017-08-11 08:53:53,2017-08-11 08:53:53,Playground,5449324,328350
6447044,2018-07-04 14:03:07,2018-07-04 14:03:07,Happy!,5449324,328361
6086184,2017-08-22 01:12:07,2017-08-22 01:12:07,Tycoon (2017),5449324,328368
6376266,2017-10-30 14:10:05,2017-10-30 14:10:05,Pillow Talk,5449324,328369
6087349,2017-07-01 02:50:46,2017-07-01 02:50:46,Junior,5449324,328398
