emotion_id,count,created_at,updated_at,tv_show_name,tv_show_id,user_id
3,1,2025-10-14 20:08:03,2025-10-14 20:08:03,Boots,434473,5449324
1,0,2025-09-05 19:29:29,2025-09-07 18:55:03,Adolescence,452467,5449324
3,2,2025-09-05 19:29:33,2025-09-07 18:55:03,Adolescence,452467,5449324
6,1,2025-09-07 18:55:08,2025-09-07 18:55:08,Adolescence,452467,5449324
8,0,2025-09-07 18:55:07,2025-09-07 18:55:08,Adolescence,452467,5449324
1,14,2016-09-26 10:42:34,2016-09-26 10:46:10,Norman fait des vidéos,10000000,5449324
2,10,2016-09-26 10:42:14,2016-09-26 10:46:14,Norman fait des vidéos,10000000,5449324
3,12,2016-09-26 10:42:10,2016-09-26 10:45:22,Norman fait des vidéos,10000000,5449324
4,0,2016-09-26 10:44:34,2016-09-26 10:44:34,Norman fait des vidéos,10000000,5449324
6,2,2016-09-26 10:42:49,2016-09-26 10:45:40,Norman fait des vidéos,10000000,5449324
7,14,2016-09-26 10:42:22,2016-09-26 10:46:00,Norman fait des vidéos,10000000,5449324
7,1,2016-08-19 14:22:48,2016-08-19 14:22:48,Cyprien,10000013,5449324
1,2,2016-09-03 14:57:41,2016-09-13 16:28:57,Les chroniques d'une fille ludique,10000022,5449324
2,2,2016-09-03 14:58:04,2016-09-13 16:28:57,Les chroniques d'une fille ludique,10000022,5449324
3,3,2016-09-03 14:57:45,2016-09-13 16:28:55,Les chroniques d'une fille ludique,10000022,5449324
6,1,2016-09-03 14:58:10,2016-09-03 14:58:10,Les chroniques d'une fille ludique,10000022,5449324
