tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
The Throne of Frogz,5449324,318432,1,0,16
Great Greek Myths,5449324,318970,1,0,1
Rapunzel's Tangled Adventure,5449324,318990,0,0,0
Sick Note,5449324,319127,1,0,0
La Loove,5449324,319222,0,0,1
Lastman,5449324,319531,1,0,26
Hidden Figures,5449324,319878,1,0,0
,5449324,320344,0,0,42
Santa Clarita Diet,5449324,320450,0,0,30
Marvel's Inhumans,5449324,320558,0,0,0
Bapt & Gaël and the Adventures of the Cosmic Ball,5449324,320613,1,0,16
Will,5449324,320720,0,0,0
The OA,5449324,321060,1,0,12
The Handmaid's Tale,5449324,321239,1,1,47
The Frozen Dead,5449324,321416,0,0,0
Prof T.,5449324,321746,0,0,0
The Worst Witch (2017),5449324,321884,1,0,39
The Terror,5449324,322191,0,0,0
Girlboss,5449324,322246,1,0,13
,5449324,322332,1,0,235
,5449324,322358,0,0,65
Feud,5449324,322466,1,0,8
Louis(e),5449324,322884,1,0,2
Abstract: The Art of Design,5449324,322890,0,0,0
Anne with an E,5449324,322971,0,0,0
13 Reasons Why,5449324,323168,1,1,47
Cable Girls,5449324,323225,1,1,24
Dear White People,5449324,323855,1,0,20
,5449324,324588,0,0,0
GLOW,5449324,324835,1,0,20
Kiss Me First,5449324,324916,1,0,6
Death Note (2017),5449324,325882,0,0,0
Marvel's The Defenders,5449324,326490,0,0,0
Raven's Home,5449324,326569,0,0,0
,5449324,326815,0,0,21
The Sinner,5449324,326866,1,0,16
The Mist,5449324,326887,1,0,10
Somewhere Between,5449324,326987,0,0,0
Transfers,5449324,327120,0,0,0
Suburra: Blood on Rome,5449324,327138,0,0,0
Disjointed,5449324,327359,1,0,20
Money Heist,5449324,327417,1,1,48
White Gold,5449324,327600,1,0,1
En fait,5449324,328068,0,0,38
,5449324,328213,0,0,441
Seb,5449324,328224,0,0,13
Gypsy,5449324,328292,1,0,10
Room 104,5449324,328308,1,0,31
,5449324,328346,0,0,1
Playground,5449324,328350,1,0,10
Happy!,5449324,328361,1,0,8
Life of Kylie,5449324,328364,0,0,0
Tycoon (2017),5449324,328368,1,0,9
Pillow Talk,5449324,328369,1,0,14
Junior,5449324,328398,1,0,10
All Wrong,5449324,328412,0,0,0
Champions,5449324,328535,1,0,10
The Gifted,5449324,328552,1,0,1
Good Girls,5449324,328577,1,1,49
The Mayor (2017),5449324,328594,0,0,0
The Good Doctor,5449324,328634,1,0,25
Saving The Human Race,5449324,328661,1,0,6
MINDHUNTER,5449324,328708,0,0,0
Dynasty (2017),5449324,328749,1,0,44
,5449324,328844,0,0,23
Friends from College,5449324,328972,1,0,8
Marvel's Ant-Man,5449324,329035,0,0,0
Pineapple,5449324,329058,1,0,3
Ozark,5449324,329089,1,0,4
You Got Trumped: The First 100 Days,5449324,329178,1,0,10
Just One Look,5449324,329180,0,0,0
Beard Club,5449324,329193,0,0,0
Skinford,5449324,329312,0,0,3
Fearless (2017),5449324,329353,0,0,0
Duels,5449324,329536,1,0,10
Alias Grace,5449324,329586,1,0,6
,5449324,329655,0,0,1
Exposed,5449324,329674,1,0,9
Planet of the Apps,5449324,329718,1,0,3
Virgin,5449324,329841,1,0,8
Game of Death,5449324,329966,0,0,0
,5449324,330082,0,0,1
Alexa & Katie,5449324,330132,0,0,0
DuckTales (2017),5449324,330134,0,0,0
Icarus,5449324,330229,1,0,5
Event Zero (2017),5449324,330231,0,0,0
Atypical,5449324,330374,1,1,19
Presque adultes,5449324,330433,1,0,10
Adulthood,5449324,330493,0,0,0
Absentia,5449324,330500,0,0,0
Calls,5449324,330525,1,0,4
She's Gotta Have It,5449324,330717,1,0,0
To the Bone,5449324,330832,0,0,0
,5449324,330866,0,0,0
Surrogate,5449324,330895,1,0,9
Yummy Mummies,5449324,331141,0,0,0
Big Mouth,5449324,331431,1,0,49
Castle Rock,5449324,331600,0,0,0
Rounds,5449324,331602,0,0,0
Epic Time Leap,5449324,331604,0,0,14
Skal,5449324,331920,1,0,8
Twiz & Tuck's Bucket List,5449324,331922,0,0,2
Twin Peaks (2017),5449324,331953,0,0,0
Marvel's The Punisher,5449324,331980,0,0,0
Superhigh,5449324,331988,1,0,10
Marvel's Runaways,5449324,332027,0,0,0
,5449324,332272,0,0,4
Future Sex,5449324,332279,0,0,0
Altered Carbon,5449324,332331,0,0,0
Final Space,5449324,332353,0,0,0
Black Lightning,5449324,332525,0,0,0
Liar,5449324,332577,0,0,0
Everyone I Love Is Dead,5449324,332763,1,0,6
American Vandal,5449324,332828,1,0,16
SMILF,5449324,332898,1,0,18
Carpool Karaoke: The Series,5449324,332954,1,0,40
The Bar Mitzvah,5449324,332963,1,0,10
,5449324,333146,1,0,0
Little Evil,5449324,333756,0,0,0
Sons of God,5449324,333838,1,0,8
Superstition,5449324,334003,1,0,1
Lore,5449324,334147,1,0,8
Greenhouse Academy,5449324,334366,0,0,0
Samantha!,5449324,334543,1,0,8
Neo Yokio,5449324,334670,1,0,7
Gerald's Game,5449324,334711,0,0,0
Dark,5449324,334824,1,0,10
Played (2017),5449324,334971,0,0,0
Mooom,5449324,335024,1,0,10
Alphonse Président,5449324,335205,0,0,0
Siren (2018),5449324,335982,1,0,11
Mosaic,5449324,336157,0,0,0
Tom Clancy's Jack Ryan,5449324,336261,0,0,0
The End of the F***ing World,5449324,336522,1,1,16
Re:Mind,5449324,336622,1,0,12
Sisters (2017),5449324,336835,0,0,0
You,5449324,336924,1,1,50
Paris etc.,5449324,337171,1,0,12
Creeped Out,5449324,337218,1,0,12
Raising Hitler,5449324,337395,1,0,8
9-1-1,5449324,337907,1,0,28
Mcfly & Carlito,5449324,338282,0,0,0
gaelle garcia diaz,5449324,338301,0,0,92
Derry Girls,5449324,338903,0,0,0
