monthly_score,tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score,weekly_score
100,DROP (2021),5449324,405555,1659763860,100,100
35,The Idol (2023),5449324,405882,1690351911,35,35
100,AlRawabi School for Girls,5449324,407227,1709188063,100,100
70,Standing Up (2022),5449324,409461,1648542332,70,70
100,An Astrological Guide for Broken Hearts,5449324,410984,1655961631,100,100
35,VTC,5449324,411312,1642309545,35,35
70,Fraggle Rock: Back to the Rock,5449324,412536,1643003699,70,70
100,Drag Race France,5449324,412594,1752583327,100,100
100,Cunk on Earth,5449324,414217,1738413943,100,100
100,The Girls at the Back,5449324,414280,1669421004,100,100
70,Queen (2022),5449324,416054,1658870765,70,70
35,My Only 12%,5449324,416784,1741483474,35,35
70,Baby Reindeer,5449324,417223,1742595884,70,70
100,Loot,5449324,417559,1660410363,100,100
100,The 7 Lives of Lea,5449324,417943,1652302952,100,100
100,Chair tendre,5449324,418015,1687647071,100,100
100,Bad Sisters,5449324,418182,1736561653,100,100
70,Chief of War,5449324,418633,1754337425,70,70
35,Mask Girl,5449324,419370,1693268696,35,35
100,DI4RIES,5449324,419523,1659270106,100,100
100,Drag Race Belgium,5449324,419549,1767623451,100,100
100,Endless Night,5449324,420180,1659660871,100,100
100,A Very Ordinary World,5449324,420427,1742479493,100,100
100,Smiley,5449324,420450,1672090933,100,100
100,Fakes (2022),5449324,421142,1669404338,100,100
100,The Most Hated Man on the Internet,5449324,421574,1659380067,100,100
100,Off the Hook (2022),5449324,423062,1662159033,100,100
100,Land of Women,5449324,423244,1723270794,100,100
100,The Mole (2022),5449324,423581,1672002133,100,100
100,Nina and the Pig,5449324,426516,1672288942,100,100
100,The Apothecary Diaries,5449324,431162,1741844981,100,100
100,DÉTER,5449324,431642,1739412467,100,100
35,The Perfect Couple,5449324,432782,1743453932,35,35
100,Boots,5449324,434473,1762153594,100,100
35,PLUR1BUS,5449324,436457,1774029760,35,35
100,Everything Now,5449324,439232,1706616890,100,100
100,Trouble Mum,5449324,442049,1763171141,100,100
35,Too Much,5449324,443261,1752833218,35,35
100,Your Friends & Neighbors,5449324,443433,1744735867,100,100
100,Nudes (FR),5449324,444090,1706923676,100,100
100,Don't Hate the Player,5449324,448191,1732586311,100,100
100,Adolescence,5449324,452467,1757486379,100,100
100,Loups garous,5449324,454234,1769374814,100,100
100,A Night to Live,5449324,454966,1736441301,100,100
100,The Beauty,5449324,455046,1772944686,100,100
100,Dans de beaux draps,5449324,455644,1757640598,100,100
100,Drag Race France: All Stars,5449324,456956,1756593769,100,100
35,Shafted,5449324,457485,1757208914,35,35
100,Cash Queens,5449324,457486,1780224556,100,100
100,Le monde magique de Jérôme Commandeur,5449324,457623,1741019367,100,100
100,Heated Rivalry,5449324,464461,1771566110,100,100
70,The Laura Stern Case,5449324,468430,1773727846,70,70
100,La Bataille : La Malédiction de L'île,5449324,470251,1762810551,100,100
35,La Bataille : La Malédiction de l’Île,5449324,470254,1763653579,35,35
70,LOL : In Real Life,5449324,470703,1764976476,70,70
100,Norman fait des vidéos,5449324,10000000,1498770437,100,100
100,Cyprien,5449324,10000013,1500586371,100,100
100,Les chroniques d'une fille ludique,5449324,10000022,1499030265,100,100
