created_at,updated_at,tv_show_name,user_id,tv_show_id
2022-06-02 21:16:07,2022-06-02 21:16:07,Jessie,5449324,252312
2024-01-21 16:18:08,2024-01-21 16:18:08,Temptation Island (FR),5449324,256593
2026-02-21 23:29:12,2026-02-21 23:29:12,Derek,5449324,257630
2019-05-08 13:33:21,2019-05-08 13:33:21,Arrow,5449324,257655
2020-10-27 22:39:35,2020-10-27 22:39:35,Vikings,5449324,260449
2024-01-21 16:19:10,2024-01-21 16:19:10,It's Only TV,5449324,263755
2025-12-06 13:15:44,2025-12-06 13:15:44,Maoyu: Archenemy & Hero,5449324,264056
2024-01-21 16:17:51,2024-01-21 16:17:51,Star Academy,5449324,264351
2025-12-06 13:15:46,2025-12-06 13:15:46,Amnesia,5449324,264532
2021-01-01 02:33:15,2021-01-01 02:33:15,EastSiders,5449324,265359
2019-05-08 13:36:29,2019-05-08 13:36:29,The Blacklist,5449324,266189
2019-07-09 21:18:04,2019-07-09 21:18:04,Attack on Titan,5449324,267440
2021-07-14 13:15:25,2021-07-14 13:15:25,Sam & Cat,5449324,267564
2020-12-03 21:29:19,2020-12-03 21:29:19,Ravenswood,5449324,268126
2020-10-26 11:21:50,2020-10-26 11:21:50,The 100,5449324,268592
2019-07-28 16:47:33,2019-07-28 16:47:33,Brooklyn Nine-Nine,5449324,269586
2022-12-25 20:47:39,2022-12-25 20:47:39,Mako: Island of Secrets,5449324,269909
2025-12-06 13:14:27,2025-12-06 13:14:27,Nagi-Asu: A Lull in the Sea,5449324,272073
2025-12-06 13:15:21,2025-12-06 13:15:21,Paw Patrol,5449324,272472
2020-08-24 21:18:24,2020-08-24 21:18:24,Hiyokoi,5449324,272941
2024-01-21 16:19:25,2024-01-21 16:19:25,Les Marseillais,5449324,275015
2024-01-21 16:20:05,2024-01-21 16:20:05,The Wakos,5449324,277455
2022-01-24 21:29:41,2022-01-24 21:29:41,UnREAL,5449324,278264
2025-12-06 13:14:13,2025-12-06 13:14:13,The Irregular at Magic High School,5449324,278329
2019-05-08 13:36:24,2019-05-08 13:36:24,The Flash (2014),5449324,279121
2024-01-21 16:17:35,2024-01-21 16:17:35,Squeezie,5449324,279758
2020-12-13 14:43:30,2020-12-13 14:43:30,How to Get Away with Murder,5449324,281620
2025-10-14 19:35:56,2025-10-14 19:35:56,World Trigger,5449324,283934
2025-12-06 13:15:15,2025-12-06 13:15:15,The Seven Deadly Sins,5449324,284131
2025-12-06 13:15:11,2025-12-06 13:15:11,The Testament of Sister New Devil,5449324,284719
2020-10-27 22:35:58,2020-10-27 22:35:58,Fear the Walking Dead,5449324,290853
2022-06-02 21:16:11,2022-06-02 21:16:11,Superstore,5449324,295648
2025-07-16 21:07:29,2025-07-16 21:07:29,Love Island,5449324,296669
2024-01-21 16:20:16,2024-01-21 16:20:16,Wankil Studio - Laink and Terracid,5449324,303314
2025-12-06 13:14:23,2025-12-06 13:14:23,Kabaneri of the Iron Fortress,5449324,305082
2025-12-06 13:14:48,2025-12-06 13:14:48,Super Lovers,5449324,305101
2020-10-26 11:21:39,2020-10-26 11:21:39,Degrassi: Next Class,5449324,305913
2024-01-21 16:18:34,2024-01-21 16:18:34,Le Monde à l'envers,5449324,311272
2025-12-06 13:15:40,2025-12-06 13:15:40,Taboo Tattoo,5449324,311537
2022-06-01 19:52:47,2022-06-01 19:52:47,Great News,5449324,311899
2024-01-21 16:19:58,2024-01-21 16:19:58,Quotidien,5449324,315932
2025-12-06 13:13:27,2025-12-06 13:13:27,Yuri!!! on Ice,5449324,317004
2022-06-02 21:16:20,2022-06-02 21:16:20,Trollhunters: Tales of Arcadia,5449324,318201
2020-08-24 21:21:05,2020-08-24 21:21:05,World of Winx,5449324,319365
2022-06-02 21:15:51,2022-06-02 21:15:51,Legion,5449324,320724
2022-06-04 14:48:06,2022-06-04 14:48:06,Workin' Moms,5449324,320737
