uuid,user_id,episode_id,vote_key,movie_name
bf7daace-2044-45fb-9c1d-f4a15925afb5,5449324,0,bf7daace-2044-45fb-9c1d-f4a15925afb5-5449324-29,Ce qui nous lie
43a49c9f-9bc5-4e18-98b5-a93b8dca2d3f,5449324,0,43a49c9f-9bc5-4e18-98b5-a93b8dca2d3f-5449324-3,Don't Look Up
72cd1fd5-d488-4cbb-9525-72f5c65c318e,5449324,0,72cd1fd5-d488-4cbb-9525-72f5c65c318e-5449324-1,Le Livre des solutions
3021688b-e37a-4862-87e0-4f7085570548,5449324,0,3021688b-e37a-4862-87e0-4f7085570548-5449324-27,Middle School: The Worst Years of My Life
33cf67a7-6d4e-44c8-8424-0e90c73137d0,5449324,0,33cf67a7-6d4e-44c8-8424-0e90c73137d0-5449324-29,White Chicks
67215e3d-5090-458b-8180-02216fd6135c,5449324,0,67215e3d-5090-458b-8180-02216fd6135c-5449324-29,Klaus
2b15fbb0-1f38-466b-83e6-1b4b4c12a673,5449324,0,2b15fbb0-1f38-466b-83e6-1b4b4c12a673-5449324-28,(500) Days of Summer
b5f02b28-1299-46c5-9a23-0e31cc248aad,5449324,0,b5f02b28-1299-46c5-9a23-0e31cc248aad-5449324-3,Shéhérazade
97ddba3e-a62e-43c8-8017-7a0fc234484c,5449324,0,97ddba3e-a62e-43c8-8017-7a0fc234484c-5449324-3,Eli
188ecc18-840b-4a62-977d-526b12989f80,5449324,0,188ecc18-840b-4a62-977d-526b12989f80-5449324-3,Astérix et Obélix : Mission Cléopâtre
6dd7e4a0-efd8-4bbd-8d64-65792fe42b17,5449324,0,6dd7e4a0-efd8-4bbd-8d64-65792fe42b17-5449324-3,Avril et le monde truqué
9f1301bc-0cb5-4bdc-99ef-d1c3fe0a8163,5449324,0,9f1301bc-0cb5-4bdc-99ef-d1c3fe0a8163-5449324-1,Le Gendre de ma vie
9e5e9ef7-8976-4b8c-8cda-8d4aad85b20a,5449324,0,9e5e9ef7-8976-4b8c-8cda-8d4aad85b20a-5449324-29,Mulan
f4cb2f2a-5f80-473c-958e-1cab2e6d8acf,5449324,0,f4cb2f2a-5f80-473c-958e-1cab2e6d8acf-5449324-29,Old
a2f4f40e-e26c-4dbd-9bc3-1061df15f7f7,5449324,0,a2f4f40e-e26c-4dbd-9bc3-1061df15f7f7-5449324-28,Sausage Party
454b0b7a-6689-4e8b-ab59-1bba0974e2aa,5449324,0,454b0b7a-6689-4e8b-ab59-1bba0974e2aa-5449324-29,Arthur and the Revenge of Maltazard
eed61fb2-35ed-4b40-84c4-c31f400c7830,5449324,0,eed61fb2-35ed-4b40-84c4-c31f400c7830-5449324-3,La Nuée
4aa15a93-36b7-4782-bd09-4e5fd71716d1,5449324,0,4aa15a93-36b7-4782-bd09-4e5fd71716d1-5449324-3,Lilo & Stitch
4f678ba1-e68b-418a-94d0-4fec5bf283be,5449324,0,4f678ba1-e68b-418a-94d0-4fec5bf283be-5449324-3,Invisibles
a2cf0ae2-dbef-4506-b001-1b9e5261ec20,5449324,0,a2cf0ae2-dbef-4506-b001-1b9e5261ec20-5449324-29,La Petite dernière
d4238f49-a485-410d-829d-6c3d905efd76,5449324,0,d4238f49-a485-410d-829d-6c3d905efd76-5449324-29,Tall Girl
e39793d0-e679-491a-95f1-2c18569bbb1b,5449324,0,e39793d0-e679-491a-95f1-2c18569bbb1b-5449324-3,Insidious
a3683448-9d51-4063-bf34-923af9116dcc,5449324,0,a3683448-9d51-4063-bf34-923af9116dcc-5449324-3,Super bourrés
d64fc554-6527-4887-82c1-f1e0d5bce8f7,5449324,0,d64fc554-6527-4887-82c1-f1e0d5bce8f7-5449324-28,Papi-Sitter
dc7f59f1-4ba3-4fe8-8bfc-3aaf8142a91e,5449324,0,dc7f59f1-4ba3-4fe8-8bfc-3aaf8142a91e-5449324-28,Mommy
2abef5e4-9445-45bb-a0df-7a518ba6d098,5449324,0,2abef5e4-9445-45bb-a0df-7a518ba6d098-5449324-28,Tinker Bell and the Legend of the NeverBeast
996f229b-8e8e-4891-af43-e75e744e30fc,5449324,0,996f229b-8e8e-4891-af43-e75e744e30fc-5449324-3,The Last House on the Left
f9db2943-03f0-4d3b-9d55-173b09f56623,5449324,0,f9db2943-03f0-4d3b-9d55-173b09f56623-5449324-3,Ghost
073a4a0b-a70f-4550-90b3-f25f746c7ad6,5449324,0,073a4a0b-a70f-4550-90b3-f25f746c7ad6-5449324-29,The Shining
095373b1-05de-4e01-bd00-9c69494ac33d,5449324,0,095373b1-05de-4e01-bd00-9c69494ac33d-5449324-27,Une fille facile
da24691e-1338-415d-80a1-6009955e8182,5449324,0,da24691e-1338-415d-80a1-6009955e8182-5449324-29,The Princess and the Frog
ce42e7dc-9b1b-47da-9d3c-00d0461f53e2,5449324,0,ce42e7dc-9b1b-47da-9d3c-00d0461f53e2-5449324-28,Pourquoi j'ai pas mangé mon père
0c7c7acc-d9c2-41b2-a855-42cf8c91a9e9,5449324,0,0c7c7acc-d9c2-41b2-a855-42cf8c91a9e9-5449324-29,Harry Potter and the Half-Blood Prince
8ed79c61-2216-477a-a52e-871d7895ca2b,5449324,0,8ed79c61-2216-477a-a52e-871d7895ca2b-5449324-3,Avatar: The Way of Water
efab8114-b48c-4b3f-9843-fd824bc521e4,5449324,0,efab8114-b48c-4b3f-9843-fd824bc521e4-5449324-3,Hoje Eu Quero Voltar Sozinho
ddcc2416-e5f3-45fe-991a-f2b2d0cafc55,5449324,0,ddcc2416-e5f3-45fe-991a-f2b2d0cafc55-5449324-3,Classe moyenne
302e36c6-30d0-4311-8518-0fd476e215b5,5449324,0,302e36c6-30d0-4311-8518-0fd476e215b5-5449324-27,The Boogeyman
e2744e19-70ca-42ea-af12-06ffc8dbb870,5449324,0,e2744e19-70ca-42ea-af12-06ffc8dbb870-5449324-29,La Lutte des classes
5344ea1b-3b2d-4939-bab9-bacc7432f00b,5449324,0,5344ea1b-3b2d-4939-bab9-bacc7432f00b-5449324-28,Tall Girl 2
c19b6c27-7138-453e-ad6f-2393829a0e0a,5449324,0,c19b6c27-7138-453e-ad6f-2393829a0e0a-5449324-3,Une sirène à Paris
3ecbc558-fcc3-478e-87d0-c1ce052c1adb,5449324,0,3ecbc558-fcc3-478e-87d0-c1ce052c1adb-5449324-29,The Emperor's New Groove
a18de3cb-e198-40e1-ab88-cdb05a4b5d86,5449324,0,a18de3cb-e198-40e1-ab88-cdb05a4b5d86-5449324-29,After We Collided
f3891ac0-08b5-45ee-a64d-63d4fe845f64,5449324,0,f3891ac0-08b5-45ee-a64d-63d4fe845f64-5449324-28,8 Rue de l'Humanité
761f24bb-8f66-41ae-8ade-62cfc27ad34f,5449324,0,761f24bb-8f66-41ae-8ade-62cfc27ad34f-5449324-3,Sex Appeal
160ed8e8-2949-4eeb-adea-b7e01813e6b4,5449324,0,160ed8e8-2949-4eeb-adea-b7e01813e6b4-5449324-29,Ralph Breaks the Internet
631d409b-f404-4d97-8abe-96fd6a8f6548,5449324,0,631d409b-f404-4d97-8abe-96fd6a8f6548-5449324-1,The Empty Man
bc449b26-a786-4a16-9562-164ff24a26c1,5449324,0,bc449b26-a786-4a16-9562-164ff24a26c1-5449324-29,The Kid
2cc5479d-97f5-451e-9d87-f0eb5d0385cb,5449324,0,2cc5479d-97f5-451e-9d87-f0eb5d0385cb-5449324-29,Grave
43b2b5ac-a5e1-45da-8665-d66593b05ea6,5449324,0,43b2b5ac-a5e1-45da-8665-d66593b05ea6-5449324-3,Sister Act
e1ae9a89-1954-4c61-a108-20b52b0a97ae,5449324,0,e1ae9a89-1954-4c61-a108-20b52b0a97ae-5449324-29,M3GAN
8057d93e-9f39-450a-96b6-461b1b14e652,5449324,0,8057d93e-9f39-450a-96b6-461b1b14e652-5449324-3,La vita è bella
7c6dcdf6-9e80-4b1c-a421-3fabe6fb873c,5449324,0,7c6dcdf6-9e80-4b1c-a421-3fabe6fb873c-5449324-28,Tarzan II
50baf4cd-ce53-4aa2-a111-2a0ab90b635b,5449324,0,50baf4cd-ce53-4aa2-a111-2a0ab90b635b-5449324-3,Le Brio
932511c4-2e29-4398-ac60-b6c446acf46b,5449324,0,932511c4-2e29-4398-ac60-b6c446acf46b-5449324-3,Saltburn
f2dfb9f4-3087-4e62-87d4-3eae4d466e78,5449324,0,f2dfb9f4-3087-4e62-87d4-3eae4d466e78-5449324-29,Les Liaisons dangereuses
d17d66e9-18ef-4728-828a-cd064bc51111,5449324,0,d17d66e9-18ef-4728-828a-cd064bc51111-5449324-29,Matrimillas
e5c578d0-d2c5-4f69-b45a-65198841c8ab,5449324,0,e5c578d0-d2c5-4f69-b45a-65198841c8ab-5449324-3,No Time to Die
d34836c0-d2cb-433e-9056-b0126e4e85cc,5449324,0,d34836c0-d2cb-433e-9056-b0126e4e85cc-5449324-3,La Famille Bélier
1f10152a-36dd-4813-b896-dd3edd34f687,5449324,0,1f10152a-36dd-4813-b896-dd3edd34f687-5449324-3,"Connasse, Princesse des cœurs"
