updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,watched_on_source_id,created_at
2018-07-28 09:06:23,Orange Is the New Black,6,12,5449324,6737747,3,2018-07-28 09:06:23
2018-07-12 15:03:29,The Handmaid's Tale,2,13,5449324,6738344,3,2018-07-12 15:03:29
2018-06-29 03:31:25,The Handmaid's Tale,2,11,5449324,6741827,3,2018-06-29 03:31:25
2019-02-06 19:50:15,Hilda,1,1,5449324,6742171,1,2019-02-06 19:50:15
2018-10-26 21:36:02,The Good Place,3,5,5449324,6742809,3,2018-10-26 21:36:02
2018-11-07 20:30:39,The Good Place,3,6,5449324,6742810,4,2018-11-07 20:30:39
2018-11-18 08:50:59,The Good Place,3,8,5449324,6742812,1,2018-11-18 08:50:59
2018-12-08 07:02:36,The Good Place,3,9,5449324,6742813,1,2018-12-08 07:02:36
2018-09-23 14:30:20,American Horror Story,8,2,5449324,6743365,4,2018-09-23 14:30:20
2018-07-17 21:36:46,Sacred Games,1,2,5449324,6751101,3,2018-07-17 21:36:46
2018-10-24 19:17:13,Fifty Shades of Greeks,1,30,5449324,6754006,3,2018-10-24 19:17:13
2018-10-20 18:18:40,The Sinner,2,8,5449324,6757799,3,2018-10-20 18:18:40
2018-10-31 17:48:46,Chilling Adventures of Sabrina,1,5,5449324,6762373,3,2018-10-31 17:48:46
2018-10-31 19:50:17,Chilling Adventures of Sabrina,1,6,5449324,6762374,3,2018-10-31 19:50:17
2018-10-31 20:12:03,Chilling Adventures of Sabrina,1,7,5449324,6762376,3,2018-10-31 20:12:03
2018-09-11 20:56:21,Cable Girls,3,1,5449324,6764178,3,2018-09-11 20:56:21
2018-07-18 16:10:29,Peepoodo,1,1,5449324,6764399,3,2018-07-18 16:10:29
2018-07-18 16:10:26,Peepoodo,1,2,5449324,6764401,3,2018-07-18 16:10:26
2018-07-18 13:56:17,Pêche Aubergine,1,19,5449324,6764429,1,2018-07-18 13:56:17
2018-07-18 16:08:01,Peepoodo,1,3,5449324,6764480,1,2018-07-18 16:08:01
2018-07-25 20:16:07,Peepoodo,1,10,5449324,6764488,1,2018-07-25 20:16:07
2018-07-28 12:30:17,Peepoodo,1,11,5449324,6764489,3,2018-07-28 12:30:17
2018-08-01 13:03:11,Peepoodo,1,13,5449324,6764491,1,2018-08-01 13:03:11
2018-10-28 22:58:05,Heathers,1,7,5449324,6765497,3,2018-10-28 22:58:05
